food_id,pid,amount,unit
93,359,0.010,1
93,129,1.000,5
93,216,1.000,5
93,223,1.000,5
93,21,0.06666667,5
93,66,0.075,8
93,55,0.05,8
93,65,0.05,8
95,141,0.020,1
95,147,0.020,1
95,192,0.030,1
95,193,0.015,1
95,128,1.000,5
95,181,1.000,5
95,312,1.000,5
98,139,0.030,1
98,140,0.100,1
98,180,0.390,1
98,200,0.050,1
98,72,2.000,5
102,34,0.006,1
102,42,0.006,1
102,64,0.015,1
102,147,0.030,1
102,153,0.030,1
102,185,0.100,1
102,192,0.030,1
102,193,0.030,1
102,72,3.000,5
102,313,1.000,5
103,34,0.006,1
103,42,0.006,1
103,64,0.015,1
103,139,0.030,1
103,154,0.050,1
103,155,0.050,1
103,192,0.030,1
103,193,0.030,1
103,200,0.020,1
103,72,3.000,5
103,313,1.000,5
104,139,0.10,1
104,207,0.04,1
104,155,0.05,1
104,127,2.00,5
104,200,0.07,1
104,313,1.00,5
105,313,1.00,5
105,147,0.02,1
105,139,0.10,1
105,127,2.00,5
105,200,0.08,1
107,177,1.00,5
110,428,1.000,5
111,64,0.015,1
111,193,0.020,1
111,197,0.020,1
111,200,0.030,1
111,240,0.075,1
111,242,0.075,1
111,313,1.000,5
112,180,0.170,1
112,219,0.035,1
112,231,0.035,1
112,232,0.100,1
112,57,1.000,5
112,58,1.000,5
112,59,1.000,5
112,72,3.000,5
112,125,3.000,5
112,215,1.000,5
112,216,1.000,5
112,221,1.000,5
112,222,1.000,5
112,223,1.000,5
112,224,1.000,5
112,428,1.000,5
114,213,1.000,5
115,228,1.000,5
117,20,1.000,5
118,219,0.035,1
118,221,1.000,5
118,224,1.000,5
119,231,0.035,1
119,215,1.000,5
119,222,1.000,5
120,22,1.000,5
121,139,0.060,1
121,139,0.110,1
121,143,0.170,1
121,150,0.020,1
121,196,0.020,1
121,136,1.000,5
122,129,1.000,5
123,313,1.000,5
124,132,0.160,1
124,139,0.030,1
124,139,0.170,1
124,150,0.020,1
124,193,0.030,1
124,196,0.020,1
124,200,0.060,1
124,136,1.000,5
125,134,0.150,1
125,139,0.030,1
125,139,0.170,1
125,150,0.020,1
125,200,0.100,1
125,136,1.000,5
126,42,0.006,1
126,145,0.035,1
126,146,0.035,1
126,180,0.170,1
126,232,0.100,1
126,57,1.000,5
126,58,1.000,5
126,59,1.000,5
126,72,3.000,5
126,127,3.000,5
126,215,1.000,5
126,216,1.000,5
126,222,1.000,5
126,223,1.000,5
126,224,1.000,5
126,224,1.000,5
126,428,1.000,5
127,64,0.030,1
127,147,0.020,1
127,193,0.015,1
127,129,1.000,5
127,312,1.000,5
128,125,1.000,5
129,126,1.000,5
130,432,0.100,2
130,282,0.020,1
130,198,0.020,1
130,433,0.100,8
130,235,0.050,8
130,200,0.050,1
130,353,0.010,1
131,258,1.000,5
132,42,0.006,1
132,132,0.100,1
132,139,0.030,1
132,180,0.390,1
132,200,0.050,1
132,72,3.000,5
132,64,0.015,1
132,147,0.020,1
132,192,0.030,1
132,193,0.015,1
132,177,1.000,5
132,181,1.000,5
132,312,1.000,5
133,127,1.000,5
